               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056327,           0.0093189,            0.028384,           0.0012149,             0.16239,           0.0011948,          0.00032007,            0.042582,           0.0099721,            0.026118,           0.0011456,           0.0011456,            0.033246
                   1,             0.03581,           0.0098617,            0.024492,             0.97457,            0.019439,            0.023718,           0.0098104,            0.028446,            0.009551,            0.022585,           0.0022943,           0.0022943,            0.016444
                   2,            0.029463,           0.0089136,            0.021479,            0.061627,             0.13252,            0.036402,            0.017644,            0.025035,           0.0083551,            0.020391,           0.0031997,           0.0031997,           0.0031997
                   3,             0.02661,           0.0079488,            0.019835,             0.94471,            0.032886,            0.046179,            0.024089,            0.023475,            0.007558,            0.019068,           0.0031997,           0.0031997,           0.0031997
                   4,            0.024623,           0.0073639,            0.018852,            0.022381,              0.3433,            0.050829,            0.025371,            0.021347,           0.0071413,            0.018291,           0.0031993,           0.0031993,           0.0031993
                   5,             0.02348,           0.0070114,            0.018073,            0.037329,             0.26223,            0.066094,            0.039423,            0.020665,           0.0069585,            0.017764,           0.0031988,           0.0031988,           0.0031988
                   6,            0.022517,           0.0068529,            0.017649,             0.02964,             0.40393,            0.064512,            0.036842,            0.020357,           0.0069501,            0.017388,           0.0031981,           0.0031981,           0.0031981
                   7,            0.021691,           0.0065588,            0.017152,            0.087534,             0.26549,            0.075171,              0.0464,            0.019332,           0.0066478,            0.017055,           0.0031972,           0.0031972,           0.0031972
                   8,            0.021175,            0.006465,            0.016802,             0.18738,             0.28726,            0.081807,            0.051179,            0.019059,            0.006443,            0.016952,           0.0031962,           0.0031962,           0.0031962
                   9,            0.020754,           0.0063496,            0.016761,             0.30215,             0.23114,            0.081716,            0.053798,            0.017899,           0.0064573,            0.016523,           0.0031951,           0.0031951,           0.0031951
                  10,            0.020219,           0.0061814,            0.016482,             0.35464,             0.23233,            0.085393,            0.056335,            0.017948,           0.0063335,            0.016403,           0.0031938,           0.0031938,           0.0031938
                  11,            0.019804,           0.0062345,             0.01623,             0.29156,             0.27225,            0.092784,            0.060442,            0.017906,           0.0061828,            0.016343,           0.0031923,           0.0031923,           0.0031923
                  12,            0.019717,           0.0062605,            0.016272,             0.18982,             0.29809,            0.097426,            0.063409,            0.017284,            0.006112,            0.016182,           0.0031907,           0.0031907,           0.0031907
                  13,            0.019208,           0.0060738,            0.015935,             0.39874,             0.21693,            0.089055,            0.057975,            0.017918,           0.0061958,            0.016055,           0.0031889,           0.0031889,           0.0031889
                  14,            0.019332,           0.0061653,             0.01596,             0.19126,             0.32756,             0.10099,            0.064626,            0.016846,           0.0059169,            0.015991,            0.003187,            0.003187,            0.003187
                  15,            0.018807,           0.0059322,            0.015872,             0.36247,             0.24756,            0.093417,            0.060261,            0.016605,           0.0059709,            0.016015,           0.0031849,           0.0031849,           0.0031849
                  16,            0.018712,           0.0059626,            0.015561,             0.37521,             0.26307,            0.092671,            0.061323,            0.016866,           0.0058893,            0.015775,           0.0031827,           0.0031827,           0.0031827
                  17,            0.018556,           0.0060165,            0.015526,             0.13778,             0.34499,            0.091884,            0.058596,            0.016279,           0.0059158,            0.015768,           0.0031803,           0.0031803,           0.0031803
                  18,            0.018206,           0.0058172,            0.015317,             0.23285,             0.31406,            0.096168,            0.062977,            0.016039,           0.0058769,            0.015442,           0.0031777,           0.0031777,           0.0031777
                  19,            0.018176,           0.0059035,            0.015008,             0.18382,             0.36726,             0.10165,            0.066529,            0.016441,           0.0057465,            0.015468,           0.0031751,           0.0031751,           0.0031751
                  20,            0.017946,           0.0057762,            0.014747,             0.23665,             0.30137,             0.10162,            0.066138,            0.016137,           0.0057733,            0.015097,           0.0031722,           0.0031722,           0.0031722
                  21,            0.017832,           0.0059238,            0.014626,             0.19047,             0.33877,             0.11389,            0.075972,            0.015533,           0.0057007,            0.014869,           0.0031692,           0.0031692,           0.0031692
                  22,            0.017786,           0.0057927,            0.014748,             0.18603,              0.3688,             0.11724,            0.075793,            0.015915,           0.0056793,            0.014697,           0.0031661,           0.0031661,           0.0031661
                  23,            0.017604,           0.0056452,            0.014193,             0.42278,             0.26598,             0.11589,            0.075688,            0.015776,           0.0057094,            0.014654,           0.0031628,           0.0031628,           0.0031628
                  24,             0.01749,           0.0056365,            0.014149,             0.42253,             0.23516,              0.1198,            0.078007,            0.015663,           0.0056582,             0.01436,           0.0031594,           0.0031594,           0.0031594
                  25,             0.01744,           0.0056347,             0.01366,             0.44788,              0.2682,              0.1361,            0.083312,            0.015948,           0.0056411,            0.014025,           0.0031558,           0.0031558,           0.0031558
                  26,            0.017529,           0.0056503,            0.013311,             0.50047,             0.22351,               0.141,            0.092729,             0.01569,           0.0056718,            0.013864,            0.003152,            0.003152,            0.003152
                  27,            0.017353,           0.0055844,            0.013417,             0.51128,             0.22789,             0.13943,            0.090546,            0.015712,           0.0056356,            0.013828,           0.0031481,           0.0031481,           0.0031481
                  28,            0.017219,           0.0056124,            0.013165,             0.46406,              0.2324,             0.14701,            0.096896,            0.015866,           0.0055567,            0.013533,           0.0031441,           0.0031441,           0.0031441
                  29,            0.017098,           0.0055538,            0.013032,             0.52384,             0.24489,              0.1621,             0.10324,            0.015254,           0.0055356,            0.013294,           0.0031399,           0.0031399,           0.0031399
                  30,            0.017157,           0.0055468,            0.012627,             0.49493,              0.2426,             0.17282,             0.11129,            0.015387,           0.0055139,            0.013262,           0.0031356,           0.0031356,           0.0031356
                  31,            0.017149,           0.0054464,            0.012619,             0.43339,             0.28711,             0.18137,             0.11477,            0.015375,           0.0055468,             0.01303,           0.0031311,           0.0031311,           0.0031311
                  32,            0.016919,           0.0055071,            0.012261,             0.43507,             0.30183,             0.19115,             0.11651,            0.015852,           0.0055445,            0.012764,           0.0031265,           0.0031265,           0.0031265
                  33,            0.016886,             0.00554,            0.012409,             0.51054,             0.30066,             0.20438,             0.13103,            0.015275,           0.0054132,            0.012517,           0.0031217,           0.0031217,           0.0031217
                  34,            0.016982,           0.0054826,            0.012191,             0.57967,              0.2796,             0.21196,             0.13383,            0.015218,           0.0055228,            0.012231,           0.0031168,           0.0031168,           0.0031168
                  35,            0.016898,           0.0055163,            0.011733,             0.53174,             0.25316,             0.21235,             0.13325,            0.014978,           0.0054654,            0.012242,           0.0031117,           0.0031117,           0.0031117
                  36,            0.016746,           0.0053975,            0.011516,             0.47557,             0.33535,             0.23389,             0.14452,            0.015473,           0.0054921,            0.012096,           0.0031065,           0.0031065,           0.0031065
                  37,            0.016945,           0.0053409,            0.011301,             0.50043,             0.28831,              0.2367,             0.14721,            0.015249,           0.0055345,            0.012058,           0.0031011,           0.0031011,           0.0031011
                  38,            0.016577,             0.00532,            0.011212,             0.61949,             0.28093,             0.25423,             0.15712,            0.015313,           0.0054323,            0.011585,           0.0030956,           0.0030956,           0.0030956
                  39,            0.016612,           0.0053114,            0.011011,             0.56638,             0.30024,             0.25704,             0.16365,             0.01511,           0.0053991,             0.01146,             0.00309,             0.00309,             0.00309
                  40,            0.016713,           0.0053495,            0.010858,             0.60743,             0.31486,             0.27597,              0.1743,            0.014988,           0.0053702,            0.011217,           0.0030842,           0.0030842,           0.0030842
                  41,             0.01633,           0.0052894,             0.01059,             0.55732,             0.36823,             0.28217,             0.18392,            0.015167,           0.0053541,            0.011165,           0.0030783,           0.0030783,           0.0030783
                  42,            0.016435,           0.0053124,            0.010351,             0.65411,             0.30415,             0.29441,              0.1922,            0.014971,           0.0053101,            0.010977,           0.0030722,           0.0030722,           0.0030722
                  43,            0.016318,           0.0052216,            0.010226,             0.68064,             0.30305,             0.30141,             0.19776,            0.014933,           0.0053138,            0.010726,            0.003066,            0.003066,            0.003066
                  44,            0.016278,           0.0053386,            0.010071,             0.67293,             0.32767,             0.30805,             0.19837,            0.014871,           0.0053122,            0.010642,           0.0030596,           0.0030596,           0.0030596
                  45,            0.016581,            0.005256,           0.0099189,              0.6973,             0.31981,             0.31721,             0.20651,             0.01471,           0.0053474,            0.010593,           0.0030532,           0.0030532,           0.0030532
                  46,             0.01636,           0.0053403,           0.0097435,             0.74557,             0.28706,             0.32472,              0.2194,            0.014694,           0.0052948,             0.01027,           0.0030465,           0.0030465,           0.0030465
                  47,            0.016445,           0.0052114,           0.0096636,             0.75369,             0.29766,             0.33302,             0.21813,            0.014747,            0.005284,            0.010175,           0.0030398,           0.0030398,           0.0030398
                  48,            0.016253,           0.0052533,           0.0094984,             0.73545,             0.31104,             0.34587,             0.22554,            0.014976,           0.0053045,           0.0099161,           0.0030329,           0.0030329,           0.0030329
                  49,            0.016328,           0.0051825,           0.0093838,             0.74496,             0.30889,             0.34784,             0.22941,             0.01477,           0.0053246,           0.0098851,           0.0030258,           0.0030258,           0.0030258
                  50,            0.015976,           0.0052038,            0.009124,             0.77534,             0.30754,             0.35424,             0.23047,            0.014876,           0.0053632,           0.0097625,           0.0030187,           0.0030187,           0.0030187
