               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.056307,           0.0093175,            0.028404,           0.0011751,             0.15197,           0.0011458,          0.00034456,            0.042328,            0.010036,            0.026111,           0.0011456,           0.0011456,            0.033246
                   1,            0.035672,           0.0098761,            0.024477,             0.97225,            0.022185,             0.02136,           0.0086743,            0.029179,           0.0096114,            0.022621,           0.0022943,           0.0022943,            0.016444
                   2,            0.029629,           0.0089138,            0.021463,             0.01564,             0.12325,            0.037283,            0.018552,            0.025014,           0.0083947,            0.020436,           0.0031997,           0.0031997,           0.0031997
                   3,            0.026572,           0.0079679,            0.019843,             0.93975,            0.039977,             0.04775,            0.025818,            0.024281,           0.0074894,            0.019154,           0.0031997,           0.0031997,           0.0031997
                   4,            0.024686,           0.0073512,            0.018788,            0.021728,             0.24677,            0.051105,            0.026234,             0.02143,           0.0071258,            0.018241,           0.0031993,           0.0031993,           0.0031993
                   5,             0.02341,           0.0070111,            0.017961,            0.032547,             0.24387,            0.065152,             0.03836,            0.020175,           0.0067743,            0.017631,           0.0031988,           0.0031988,           0.0031988
                   6,            0.022559,           0.0068248,            0.017555,            0.031726,             0.26417,            0.068926,            0.042716,            0.019345,           0.0067012,             0.01737,           0.0031981,           0.0031981,           0.0031981
                   7,            0.021632,           0.0065848,            0.017123,            0.080591,             0.26285,            0.070969,            0.044264,            0.018866,           0.0065299,            0.017074,           0.0031972,           0.0031972,           0.0031972
                   8,            0.021206,           0.0064816,            0.016804,            0.090654,             0.29113,            0.083828,            0.053655,            0.018339,           0.0063578,            0.016731,           0.0031962,           0.0031962,           0.0031962
                   9,            0.020842,           0.0063539,            0.016733,             0.27151,             0.24213,            0.077644,            0.049177,            0.018001,           0.0063842,            0.016431,           0.0031951,           0.0031951,           0.0031951
                  10,            0.020191,           0.0061854,            0.016495,             0.31982,             0.25046,            0.079668,            0.050389,            0.018204,           0.0063147,            0.016401,           0.0031938,           0.0031938,           0.0031938
                  11,            0.019958,           0.0062458,             0.01624,             0.14113,             0.32572,            0.089555,            0.058481,            0.017748,           0.0061316,            0.016399,           0.0031923,           0.0031923,           0.0031923
                  12,            0.019669,           0.0062803,            0.016282,             0.36716,             0.24019,            0.084806,            0.054635,            0.017584,           0.0060842,            0.016215,           0.0031907,           0.0031907,           0.0031907
                  13,             0.01929,           0.0060708,            0.015962,             0.38149,             0.22989,             0.08799,            0.057375,            0.017056,           0.0060522,            0.016081,           0.0031889,           0.0031889,           0.0031889
                  14,            0.019317,           0.0061633,            0.015966,             0.14233,              0.3386,            0.086688,            0.056936,             0.01778,           0.0060808,             0.01615,            0.003187,            0.003187,            0.003187
