               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062675,           0.0061802,             0.02143,           0.0010175,             0.03351,          0.00052777,          0.00012224,            0.050973,            0.006093,            0.021154,           0.0005952,           0.0005952,            0.041295
                   1,            0.046558,           0.0052755,             0.01861,           0.0086174,             0.16658,           0.0079818,           0.0026668,            0.034418,           0.0057928,             0.01963,           0.0011926,           0.0011926,            0.032543
                   2,            0.034488,            0.004889,            0.016521,              0.2755,              0.1998,            0.027293,            0.012407,            0.029752,           0.0052239,            0.019638,           0.0017858,           0.0017858,            0.023786
                   3,            0.030079,           0.0045737,            0.015925,             0.15454,             0.30501,            0.047946,            0.025171,            0.025735,            0.004947,            0.019764,           0.0023718,           0.0023718,            0.015022
                   4,            0.027689,           0.0042375,            0.015563,             0.54539,             0.19908,            0.064968,            0.033962,            0.025288,           0.0045571,            0.019891,           0.0029475,           0.0029475,           0.0062475
                   5,            0.026199,           0.0039269,            0.015335,             0.57117,             0.19069,            0.093594,            0.058579,            0.024149,           0.0042714,            0.020018,           0.0031311,           0.0031311,           0.0031311
                   6,            0.024837,           0.0036374,            0.014829,             0.16639,             0.40223,             0.12105,            0.072143,            0.023364,           0.0040314,            0.019768,           0.0031311,           0.0031311,           0.0031311
                   7,            0.024074,           0.0034644,            0.014085,             0.28924,              0.3848,             0.13826,            0.080671,            0.022324,           0.0038259,            0.019754,           0.0031011,           0.0031011,           0.0031011
                   8,            0.023708,           0.0033433,            0.013242,             0.43867,             0.32427,             0.14935,            0.095731,            0.022292,           0.0036299,             0.01972,            0.003066,            0.003066,            0.003066
                   9,            0.022765,           0.0031129,            0.012268,             0.48023,             0.34079,             0.17284,            0.092551,            0.022464,           0.0034179,            0.020338,           0.0030258,           0.0030258,           0.0030258
                  10,            0.023118,           0.0029748,             0.01159,             0.51986,             0.34393,             0.20057,             0.12355,            0.022424,           0.0033963,            0.020429,           0.0029808,           0.0029808,           0.0029808
                  11,             0.02226,           0.0028953,            0.010521,             0.51545,             0.35232,             0.21763,             0.13061,             0.02324,           0.0033354,            0.018866,           0.0029311,           0.0029311,           0.0029311
                  12,            0.022266,            0.002783,           0.0099865,             0.64709,              0.2898,             0.22139,             0.13817,             0.02172,           0.0031446,            0.019864,           0.0028769,           0.0028769,           0.0028769
